Word,Time,POS
love,1.0005512679162072,V
first,1.0011025358324146,ADJ
sight,1.0013781697905182,N
first,1.0019294377067254,ADJ
time,1.0022050716648292,N
saw,1.0027563395810364,VD
fell,1.003858875413451,VD
madly,1.0041345093715546,ADV
love,1.0046857772877618,N
hospital,1.0066152149944874,N
pain,1.0074421168687981,N
liver,1.0082690187431091,N
fell,1.0088202866593163,VD
short,1.0093715545755237,ADJ
jaundice,1.0101984564498345,N
doctors,1.010749724366042,N
puzzled,1.0113009922822491,VN
fact,1.0121278941565601,N
brisk,1.0242557883131203,N
serious,1.0248070562293274,ADJ
men,1.025082690187431,N
efficient,1.0256339581036384,ADJ
mouths,1.025909592061742,N
inefficient,1.0264608599779492,N
eyes,1.0267364939360528,N
accompanied,1.0270121278941566,VD
brisk,1.0275633958103638,N
serious,1.028114663726571,ADJ
nurse,1.0283902976846748,N
one,1.028941565600882,NUM
ward,1.029768467475193,N
nurses,1.0300441014332966,V
didnt,1.0305953693495038,N
like,1.0308710033076074,P
read,1.0316979051819184,V
chart,1.0322491730981256,N
foot,1.0330760749724366,N
bed,1.0339029768467476,VN
asked,1.0344542447629548,VD
impatiently,1.0347298787210584,ADV
pain,1.0355567805953694,N
seemed,1.0361080485115766,VD
irritated,1.0363836824696802,VN
told,1.0372105843439912,VD
full,1.0402425578831311,ADJ
colonel,1.040518191841235,N
demanded,1.0407938257993385,VD
doctors,1.0413450937155457,N
exchanged,1.0416207276736493,VD
look,1.0421719955898567,N
shook,1.0429988974641675,V
head,1.043550165380375,N
give,1.0438257993384785,V
another,1.0443770672546857,DET
pill,1.0446527012127893,N
nurse,1.0449283351708931,N
made,1.0454796030871003,VD
note,1.0460308710033077,N
give,1.046582138919515,V
another,1.047133406835722,DET
pill,1.0474090407938257,N
four,1.0482359426681367,NUM
moved,1.0490628445424477,VD
along,1.0493384785005513,P
next,1.0501653803748623,ADJ
bed,1.0504410143329659,VN
none,1.0507166482910695,N
nurses,1.0515435501653805,N
liked,1.051819184123484,VD
actually,1.0523704520396913,ADV
pain,1.0529217199558987,N
liver,1.0537486218302095,N
gone,1.0542998897464169,VN
away,1.0545755237045205,ADV
didnt,1.0554024255788312,N
anything,1.0559536934950386,N
doctors,1.0567805953693494,N
never,1.0570562293274532,ADV
suspected,1.0573318632855568,VN
suspected,1.0581587651598676,VD
moving,1.0595369349503858,VG
bowels,1.0600882028665932,N
telling,1.060915104740904,VG
anyone,1.0611907386990078,N
everything,1.0620176405733186,N
wanted,1.062568908489526,VD
hospital,1.0633958103638368,N
food,1.0639470782800442,N
wasnt,1.0642227122381478,N
bad,1.064773980154355,ADJ
meals,1.065600882028666,N
brought,1.0661521499448732,VN
bed,1.0672546857772878,ADJ
extra,1.0680815876515988,ADJ
rations,1.0683572216097024,N
meals,1.0989525909592062,N
brought,1.0992282249173098,VD
bed,1.1003307607497244,ADJ
made,1.101433296582139,VN
mind,1.1022601984564497,N
spend,1.1028114663726571,V
rest,1.1033627342888643,N
war,1.1041896361631753,N
hospital,1.1050165380374861,N
wrote,1.1055678059536935,VD
letters,1.1058434399117971,N
everyone,1.1063947078280043,N
knew,1.1069459757442117,VD
saying,1.1072216097023153,VG
hospital,1.108875413450937,N
never,1.1094266813671445,ADV
mentioning,1.109702315325248,VG
one,1.1102535832414553,NUM
day,1.1105292171995589,N
better,1.1116317530319735,ADJ
idea,1.111907386990077,N
censor,1.1267916207276736,V
letters,1.1270672546857772,N
written,1.127342888643881,VN
enlistedmen,1.1284454244762956,N
patients,1.1287210584343992,N
kept,1.12954796030871,VD
residence,1.1300992282249174,N
wards,1.1306504961411246,N
monotonous,1.13257993384785,ADJ
job,1.1328555678059538,N
disappointed,1.1339581036383684,VN
learn,1.1345093715545755,V
lives,1.1353362734288863,N
enlisted,1.1358875413450937,VN
men,1.1361631753031973,N
slightly,1.1369900771775083,ADV
interesting,1.1375413450937155,ADJ
lives,1.1383682469680265,N
officers,1.1389195148842337,N
first,1.1397464167585447,ADJ
day,1.1400220507166483,N
lying,1.2403528114663727,VG
amorously,1.2406284454244763,ADV
belly,1.2414553472987873,N
startled,1.242282249173098,VN
captain,1.2425578831312019,N
malaria,1.243109151047409,N
blood,1.24393605292172,N
mosquito,1.2447629547960308,N
bite,1.2450385887541344,N
ass,1.2458654906284454,N
across,1.246141124586549,P
aisle,1.2466923925027564,N
next,1.2483461962513782,ADJ
artillery,1.2497243660418964,N
captain,1.25,N
stopped,1.2513781697905182,VN
playing,1.2516538037486218,N
chess,1.2519294377067256,N
captain,1.2524807056229328,N
good,1.2533076074972436,ADJ
chess,1.2535832414553472,N
player,1.253858875413451,N
games,1.254685777287762,N
always,1.2552370452039692,ADV
interesting,1.2555126791620728,ADJ
stopped,1.2563395810363835,VN
playing,1.2566152149944874,VG
chess,1.256890848952591,N
games,1.2582690187431091,N
interesting,1.25909592061742,ADJ
foolish,1.259922822491731,ADJ
educated,1.2613009922822491,VN
texan,1.2615766262403527,N
texas,1.2621278941565601,N
looked,1.2626791620727673,VN
felt,1.264332965821389,VD
patriotically,1.264608599779493,ADV
people,1.2651598676957,N
means,1.2657111356119075,N
decent,1.265986769570011,V
folk,1.2662624035281147,N
given,1.2670893054024255,VN
votes,1.267640573318633,N
drifters,1.26819184123484,N
whores,1.268467475192944,N
criminals,1.2687431091510475,N
degenerates,1.269018743109151,N
atheists,1.2692943770672547,N
indecent,1.2698456449834619,N
folk,1.2701212789415657,N
people,1.2703969128996693,N
without,1.2706725468577729,P
means,1.2709481808158765,N
unspringing,1.2717750826901875,VG
rhythms,1.272050716648291,N
letters,1.272877618522602,N
day,1.2734288864388092,N
brought,1.2739801543550167,VD
texan,1.2745314222712238,N
another,1.2756339581036384,DET
quiet,1.275909592061742,ADJ
hot,1.2761852260198456,N
untroubled,1.2764608599779492,VD
day,1.276736493936053,N
heat,1.2772877618522602,N
pressed,1.2775633958103638,VD
heavily,1.2778390297684674,ADV
working,1.2852811466372658,VG
hard,1.2855567805953694,ADV
increasing,1.2861080485115766,VG
life,1.286659316427784,N
span,1.2869349503858876,N
cultivating,1.2883131201764058,VG
boredom,1.2885887541345094,N
working,1.2894156560088204,VG
hard,1.2899669239250275,ADV
increasing,1.290518191841235,VG
life,1.2910694597574421,N
span,1.2913450937155457,N
thought,1.2921719955898567,N
dead,1.2929988974641675,ADJ
put,1.293550165380375,VD
texan,1.2941014332965821,N
bed,1.2949283351708931,VN
middle,1.295755237045204,N
ward,1.296582138919515,N
wasnt,1.2974090407938257,VD
long,1.2976846747519295,ADV
donated,1.2985115766262403,VD
something,1.3054024255788312,N
missing,1.3056780595369348,VG
know,1.3067805953693494,V
banged,1.3081587651598676,VD
fist,1.308710033076075,N
palm,1.3098125689084896,N
patriotism,1.3103638368246968,N
declared,1.310915104740904,VD
right,1.3114663726571114,ADV
shouted,1.3120176405733186,VN
back,1.3122932745314222,ADV
right,1.3128445424476296,ADV
right,1.3133958103638368,ADV
right,1.313947078280044,ADV
hot,1.3144983461962514,N
dog,1.314773980154355,N
brooklyn,1.3153252480705624,N
dodgers,1.315600882028666,N
moms,1.3158765159867696,N
apple,1.3161521499448732,V
pie,1.3164277839029768,N
everyones,1.3172546857772878,N
fighting,1.3175303197353914,VG
whos,1.3183572216097024,N
fighting,1.318632855567806,VG
read,1.4437706725468578,VD
thermometer,1.4443219404630652,N
discovered,1.4448732083792724,VD
dead,1.445975744211687,ADJ
murderer,1.4462513781697905,N
quietly,1.4470782800441016,ADV
texan,1.4476295479603087,N
looked,1.4479051819184123,VD
uncertain,1.4495589856670341,N
grin,1.449834619625138,N
killer,1.4501102535832415,N
fellas,1.4517640573318633,V
talkin,1.452039691289967,N
texan,1.452866593164278,N
asked,1.4531422271223815,VD
nervously,1.453417861080485,ADV
murdered,1.4539691289966923,VD
killed,1.4553472987872107,VD
texan,1.4567254685777287,N
shrank,1.4570011025358325,VD
back,1.457276736493936,ADV
fellas,1.4578280044101433,V
crazy,1.4583792723263507,ADJ
didnt,1.4589305402425579,V
even,1.4592061742006615,ADV
touch,1.459481808158765,ADJ
murdered,1.460308710033076,VD
heard,1.4616868798235942,V
kill,1.4622381477398014,MOD
killed,1.4636163175303198,VD
nigger,1.4652701212789416,N
fellas,1.4663726571113562,V
crazy,1.4669239250275634,ADJ
texan,1.4674751929437706,N
cried,1.4677508269018742,VD
allow,1.4685777287761852,V
niggers,1.4688533627342888,N
special,1.4705071664829106,ADJ
place,1.4707828004410144,N
niggers,1.4713340683572216,N
sergeant,1.471885336273429,N
smuggled,1.4721609702315326,VD
